iter	Passed	Remaining
801	5111	1261
802	5117	1255
803	5123	1248
804	5129	1242
805	5135	1236
806	5142	1229
807	5148	1223
808	5155	1217
809	5161	1210
810	5167	1204
811	5174	1198
812	5180	1191
813	5187	1185
814	5193	1178
815	5199	1172
816	5205	1166
817	5211	1159
818	5217	1153
819	5224	1146
820	5230	1140
821	5236	1133
822	5242	1127
823	5249	1121
824	5255	1114
825	5261	1108
826	5267	1101
827	5273	1095
828	5279	1089
829	5285	1082
830	5292	1076
831	5298	1069
832	5305	1063
833	5310	1057
834	5317	1050
835	5324	1044
836	5330	1038
837	5336	1031
838	5342	1025
839	5349	1018
840	5355	1012
841	5361	1006
842	5367	999
843	5373	993
844	5379	986
845	5386	980
846	5392	974
847	5398	967
848	5405	961
849	5411	954
850	5417	948
851	5424	942
852	5430	935
853	5437	929
854	5444	923
855	5451	917
856	5458	910
857	5464	904
858	5471	898
859	5477	891
860	5483	885
861	5489	878
862	5496	872
863	5502	866
864	5508	859
865	5514	853
866	5522	847
867	5528	840
868	5534	834
869	5540	827
870	5547	821
871	5554	815
872	5560	808
873	5566	802
874	5572	796
875	5578	789
876	5584	783
877	5590	776
878	5596	770
879	5603	764
880	5609	757
881	5616	751
882	5622	744
883	5628	738
884	5636	732
885	5642	726
886	5648	719
887	5654	713
888	5661	706
889	5670	700
890	5676	694
891	5683	688
892	5690	681
893	5696	675
894	5704	669
895	5710	662
896	5717	656
897	5723	650
898	5729	643
899	5736	637
900	5742	630
901	5749	624
902	5755	618
903	5761	611
904	5768	605
905	5775	599
906	5781	592
907	5787	586
908	5794	580
909	5800	573
910	5806	567
911	5812	560
912	5819	554
913	5825	548
914	5831	541
915	5837	535
916	5843	528
917	5850	522
918	5857	516
919	5863	509
920	5870	503
921	5877	497
922	5883	490
923	5889	484
924	5895	478
925	5901	471
926	5907	465
927	5914	458
928	5920	452
929	5927	446
930	5933	439
931	5939	433
932	5947	427
933	5953	420
934	5960	414
935	5966	407
936	5973	401
937	5979	395
938	5987	388
939	5993	382
940	5999	376
941	6006	369
942	6013	363
943	6019	357
944	6025	350
945	6032	344
946	6038	337
947	6044	331
948	6050	325
949	6057	318
950	6063	312
951	6069	306
952	6075	299
953	6083	293
954	6089	286
955	6095	280
956	6102	274
957	6108	267
958	6114	261
959	6121	255
960	6127	248
961	6135	242
962	6141	235
963	6147	229
964	6153	223
965	6159	216
966	6165	210
967	6172	204
968	6178	197
969	6185	191
970	6191	184
971	6197	178
972	6204	172
973	6210	165
974	6217	159
975	6224	153
976	6231	146
977	6237	140
978	6243	133
979	6249	127
980	6256	121
981	6263	114
982	6270	108
983	6276	102
984	6282	95
985	6288	89
986	6295	82
987	6301	76
988	6307	70
989	6313	63
990	6319	57
991	6326	51
992	6332	44
993	6338	38
994	6344	31
995	6350	25
996	6356	19
997	6362	12
998	6368	6
999	6374	0
